ID,A1,A2,A3,B1,B2,B3,D1,D2,D3,e1,e2,e3,e12,e13,e23,eI,eII,eIII
155,-0.25,0,-0.5,-0.1875,0.125,0.375,-0.296875,0.1875,-0.40625,-0.467236086,12.43233455,-3.101918392,-0.756605186,1.686733685,-0.541271293,12.48987342,-0.45595808,-3.170735267
156,0,0,0,0.125,0,0,0,0.28125,-0.75,4.02112797,-0.2406164,-0.754713542,2.052502095,-0.066539756,0.12451985,4.200642517,-0.457694193,-0.746093024
157,-0.125,0.375,-0.25,0.40625,-0.09375,-0.6875,-0.4296875,-0.0234375,-0.109375,-0.109333851,12.02585903,-3.126819549,2.388536814,-1.678609588,0.07816765,10.74022233,-0.300780682,-2.562719743
158,-0.125,0.125,-0.25,-0.34375,0.21875,-0.1875,-0.0546875,-0.0390625,0.265625,-0.399488975,7.115122135,-1.771286112,-1.580336266,0.549202355,-0.474589069,7.207185638,-0.449354336,-1.813484254
159,-0.125,0.375,0.25,0.03125,-0.09375,0.1875,-0.0546875,0.0703125,0.859375,5.492058044,-0.19697805,-1.206950579,-0.251383549,0.049980172,-0.952585184,5.670324478,-0.556059614,-1.237798942
160,0.375,0.125,0.25,-0.40625,0.28125,-0.9375,0.4921875,0.3828125,0.015625,3.142241621,-0.02829378,-0.70968563,0.209737443,-0.014982706,1.253838745,3.29828771,-0.554235016,-0.786788733
161,0,-0.25,0,0.3125,0.125,-0.375,-0.140625,-0.4375,-0.46875,1.293813184,3.577649913,-1.175877037,5.731080382,0.643682497,1.139977032,5.031926254,-0.40072434,-1.205021053
162,0.125,-0.125,0.25,0.21875,0.15625,0.9375,0.1953125,-0.1953125,0.015625,3.96075593,-0.05831911,-0.898678577,1.032963737,0.021148164,-1.241108548,4.101569679,-0.114711687,-0.983099749
163,-0.375,-0.125,-0.25,-0.09375,-0.53125,0.1875,-0.3515625,0.0390625,-0.296875,2.37082746,5.977521796,-1.971276356,9.997199231,-1.267531029,-2.324689067,9.610053552,-0.862928042,-2.37005261
164,-0.125,-0.375,-0.75,0.09375,-0.21875,-0.1875,-0.0546875,-0.0703125,-0.890625,6.689574802,2.049747452,-1.963628081,-13.60812297,-0.991538309,0.74512267,10.77979057,-1.71959318,-2.619213101
165,0.125,0.375,-0.25,-0.40625,0.53125,-0.1875,0.0546875,0.0703125,-0.296875,3.10813477,3.833831688,-1.719533484,-8.520398806,0.509771899,-0.41163079,7.757885672,-0.804172778,-1.73127992
166,-0.25,0,0,0.5,0.1875,-0.375,-0.296875,0.1875,0.1875,-0.108657346,9.143900679,-2.339867119,-0.697056148,-1.362335006,0.095064424,8.17959243,-0.26882181,-1.912284779
167,-0.25,-0.5,0,-0.25,0.0625,0.125,-0.4375,-0.453125,0.09375,-0.261290079,7.107978163,-2.794659522,-4.916336038,-0.232588313,-0.25061835,7.853219401,-0.992905901,-2.808284937
168,0.125,-0.375,-0.25,-0.21875,-0.46875,-0.0625,0.0078125,-0.3046875,-0.765625,0.761460087,3.41947547,-0.99966177,4.980168524,-0.588401299,-0.884037036,4.951734181,-0.611433513,-1.159026881
169,0.375,-0.375,0.25,-0.09375,-0.15625,-0.3125,0.6328125,-0.3515625,0.296875,2.244821953,-0.135253504,-0.474230332,1.747803835,-0.010803276,0.404977163,2.496088039,-0.375163409,-0.519625059
170,0.625,-0.125,0.75,-0.40625,-0.21875,-0.4375,0.6015625,-0.2890625,0.421875,0.24735959,1.916582878,-0.541690224,2.455440808,-0.180513425,-0.262619595,2.572921697,-0.371737948,-0.578931505
171,-0.125,0.625,-0.75,0.03125,0.34375,-0.0625,-0.0078125,0.6953125,-0.984375,4.951318333,5.978293743,-2.669029893,-16.39361266,0.70366637,-0.843539788,13.69584445,-2.644496005,-2.790766266
172,-0.25,0.25,0,0.1875,0.4375,0,-0.015625,0.296875,-0.75,6.721161408,-0.462401945,-1.315595678,1.024797221,0.721559481,-0.064623375,7.404715231,-1.384325988,-1.525063229
173,0.375,-0.125,-0.25,0.15625,0.03125,0.3125,0.3515625,0.2265625,-0.296875,3.384614538,-0.530438901,-0.535320502,2.721234923,0.132538371,-0.400293141,3.835737298,-0.550908548,-0.975716415
174,0.375,0.375,0.25,0.28125,-0.21875,0.4375,0.7734375,0.2109375,0.578125,3.559142715,-0.695195295,-0.607590136,1.016232709,0.036729384,0.254875749,3.541654248,-0.571154676,-0.777360664
175,-0.125,-0.125,0.25,0.28125,0.28125,-0.3125,-0.5234375,0.2265625,0.296875,-0.054418718,5.328870902,-1.347436104,-1.361487375,-0.838734413,0.034026943,4.91801931,-0.235540912,-1.126445806
176,0,0.5,-0.5,0.0625,-0.1875,-0.25,-0.046875,0.640625,-0.875,3.375922533,4.893977493,-2.02304673,-10.56509664,-0.885435556,0.984227675,8.681792804,-1.155182956,-1.752836942
177,-0.125,0.125,-0.25,0.15625,-0.78125,0.0625,-0.0078125,0.0078125,-0.765625,3.723279297,2.63386788,-1.512724643,-7.865004463,-0.167622129,-0.202430529,7.505200514,-1.308133156,-1.479288685
178,-0.125,-0.125,-0.75,0.09375,0.21875,-0.1875,-0.0546875,0.5078125,-0.890625,5.899617827,3.026958275,-2.049033362,-13.25818834,-1.168805793,1.064276767,10.3556721,-1.702858286,-2.296759047
179,0.125,-0.125,0.25,-0.09375,-0.03125,-0.1875,0.3359375,-0.4296875,0.109375,3.048869912,-0.232583852,-0.629255118,1.816082113,-0.004702215,0.536500138,3.29558491,-0.472063004,-0.730385876
180,0.25,-0.5,0,-0.3125,-0.375,-0.75,0.4375,-0.546875,-0.09375,2.878878513,-0.170447533,-0.60914686,2.279363325,-0.014374145,0.563540307,4.1458375,-1.120600772,-1.391963182
181,0.125,0.375,0.25,0.15625,-0.03125,0.0625,-0.3671875,0.4921875,0.015625,-0.199112038,4.76991343,-1.204041597,-0.036981219,-0.435007025,0.213378044,4.587388969,-0.363271764,-1.08190247
182,0.25,0.25,0,-0.1875,0.0625,-1,0.203125,-0.078125,0,4.894234589,-0.142501381,-1.093645141,0.329281106,-0.02544694,1.474940964,4.490719986,-0.17363066,-0.99401417
183,0.125,0.125,0.25,-0.03125,-0.03125,-0.0625,-0.4609375,0.2890625,0.390625,-0.197941063,3.625404897,-0.881480635,-1.223652253,0.347398529,-0.232091807,3.728719446,-0.28079864,-0.901937608
184,0.375,-0.125,0.25,0.03125,-0.34375,-0.8125,-0.0234375,-0.4296875,0.109375,-0.079508879,3.518419362,-0.877318308,-1.214704553,-0.511211003,0.085700549,3.354903982,-0.273858592,-0.742822944
185,0.125,-0.125,-0.25,-0.40625,0.15625,-0.4375,0.2890625,-0.2890625,-0.203125,-0.601391025,4.489937273,-0.958381932,-2.502970783,-0.253300664,-0.068377053,4.783258288,-0.855783226,-0.997310746
186,0,0.25,0,-0.6875,-0.25,0.125,-0.09375,0.109375,0.5625,-0.096843505,7.507249247,-1.950280047,0.300816009,1.03235775,-0.104535775,7.53818187,-0.097750284,-1.980305891
187,0.125,0.125,-0.25,0.09375,-2.81E-01,-0.4375,0.2890625,-0.1796875,0.171875,5.803311797,-0.312560581,-1.249217458,0.910122417,-9.67E-05,1.304118985,5.431037199,-0.361888292,-1.132884305
188,0.5,0,0.5,0.1875,0.1875,-0.5,0.125,0.28125,0.40625,-0.019821796,2.847456126,-0.718991723,-0.622893358,-0.503416738,0.025743238,2.662887016,-0.154092799,-0.603298281
189,0.25,0.5,0,0.25,-0.3125,0.625,0.484375,0.5,0,1.932882842,1.730573845,-0.823378116,-4.658222606,0.412325098,-0.679607328,4.281656292,-0.635675721,-0.889139162
190,-0.125,0.375,0.25,-0.15625,-0.15625,0.3125,-0.6171875,0.1640625,0.671875,-0.097015622,5.956745299,-1.514390864,0.524191619,0.808363334,-0.059476415,5.989663923,-0.106791105,-1.537534006
191,0,0.25,-0.5,0.0625,-0.125,0.25,0.046875,0.34375,-0.875,5.961377901,-0.654976966,-1.054097416,2.331064934,0.917196885,-1.700797679,7.007822609,-1.265306618,-1.577213737
192,-0.25,-0.25,-0.5,-0.25,-0.125,0.5,-0.203125,-0.484375,-0.59375,3.71144939,8.250665269,-2.878990122,14.5668062,-1.581897177,-3.066164982,13.75385658,-1.30865205,-3.362079988
193,0.25,0,0,-0.25,0.0625,0.125,-0.078125,0.375,-0.5625,2.474790272,1.288819299,-0.876280906,-4.942398864,0.398910986,-0.205692704,4.431017836,-0.626111772,-0.917577399
194,-0.375,-0.375,-0.25,-0.03125,-0.28125,0.0625,-0.4921875,-0.2109375,-0.015625,1.523170868,6.548817328,-1.94250554,9.34303258,-1.026706315,-1.708614461,9.408634923,-1.041902207,-2.237250062
195,0.375,-0.125,0.25,-0.53125,-0.40625,-0.6875,0.4453125,-0.4296875,0.109375,0.414287688,2.616090096,-0.746327553,3.629755302,-0.288160323,-0.420271053,3.649767112,-0.54763814,-0.818078742
196,0.25,0.25,-0.5,0,-0.5,0,0.109375,0.296875,-0.78125,4.609196912,-1.477268052,-0.521814187,2.573677666,0.246568416,0.187213727,5.076483044,-0.641071856,-1.967978188
197,0.25,-0.25,-0.5,0,0.25,0,0.296875,-0.015625,-0.40625,0.281229227,3.504166016,-0.886304491,5.223879525,0.440482459,0.454709345,4.913064293,-0.818002553,-1.300440354
198,0.375,-0.625,-0.25,-0.34375,-0.34375,-0.6875,0.3515625,-0.6484375,-0.296875,2.934540898,-0.183224788,-0.563185977,2.689557878,-0.043006718,0.208293884,4.4613019,-1.15432448,-1.610646142
199,0,0.5,-0.5,0.25,0.5,-0.125,-0.09375,0.21875,-0.59375,2.074520162,3.106900003,-1.234938441,6.697423705,0.5242405,1.329181705,6.372424865,-1.110759674,-1.562894694
200,0,0,0.5,0,-0.25,0.375,0,0.28125,0.40625,-0.026692579,3.51914201,-0.87885553,-0.698938038,0.655758217,-0.015658943,3.577266471,-0.060124642,-0.903547928
201,-0.75,0,0.5,0,-0.4375,0,-0.421875,0,-0.15625,7.686346071,5.053080531,-3.143230078,-14.78023696,-0.505498065,-0.639363861,13.87660491,-1.060347325,-3.220061065
202,-0.25,0.25,0,-0.25,0,0.625,-0.484375,0.203125,0,-0.092015143,9.447768171,-2.434130688,1.007156916,1.32750858,-0.067428864,9.51086336,-0.116534908,-2.472706113
203,-0.125,-0.375,-0.25,0.34375,0.28125,0.1875,0.1328125,-0.4453125,-0.109375,1.10418403,4.684085434,-1.402082532,6.739303935,0.678422736,1.11945878,6.347737795,-0.691679898,-1.477218226
204,-0.125,-0.125,0.25,-0.59375,-0.09375,-0.0625,0.1328125,-0.4296875,0.109375,1.237785509,3.468581708,-1.15094726,5.579116478,-0.50288294,-0.961052501,5.392393846,-0.548196096,-1.288777793
205,0.5,-0.25,0.5,-0.4375,-0.125,-0.25,0.359375,-0.34375,0.3125,0.300992069,1.909097155,-0.551235843,2.478171155,-0.1888561,-0.294490938,2.589631746,-0.339682643,-0.591095723
206,0.125,-0.375,-0.25,0.03125,-0.34375,-0.8125,-0.1328125,-0.5390625,-0.109375,-0.150870196,5.873462214,-1.467765562,-2.083727304,-0.832948863,0.159141309,5.466827295,-0.472910037,-1.189255175
207,0.125,-0.125,0.75,-0.09375,-0.15625,-0.3125,-0.1328125,-0.1484375,0.703125,-0.065065253,2.76207702,-0.702104552,-1.663647199,0.255944342,-0.057679604,2.993310172,-0.291569648,-0.70683331
208,0.25,-0.25,0,0.4375,-0.3125,0,-0.078125,-0.203125,0,-0.210930753,4.33245048,-1.069810282,-1.778476872,-0.392251734,0.259294975,4.235526743,-0.554452307,-0.914055177
209,0.25,-0.25,0.5,0.5625,0.0625,0.125,0.34375,-0.0625,0.875,-0.047783103,3.109391546,-0.791997795,-1.526113665,-0.375710244,0.034685436,3.046035164,-0.27870484,-0.679684685
210,0.125,-0.125,-0.25,0.34375,0.03125,0.8125,0.4296875,-0.2421875,-0.109375,5.246421642,-0.384803539,-1.081558946,1.908654085,0.014735078,-1.638530066,5.502752367,-0.513034124,-1.209659085
211,0,-0.25,-0.5,0.25,-0.3125,-0.375,-0.28125,-0.296875,-0.40625,-0.38841579,8.6901334,-2.141672304,-1.795628305,-1.107437784,0.466531928,7.974203589,-0.846649398,-1.711742109
212,-0.125,0.125,0.25,-0.28125,-0.09375,-0.1875,-0.0546875,0.5234375,-0.265625,3.141685083,1.532061724,-1.090867468,-6.340121327,0.39243112,0.0360786,5.609186659,-0.829203114,-1.197104206
213,-0.25,0,0,-0.4375,0.375,0.25,-0.0625,0.046875,-0.28125,4.487933838,4.25480448,-2.13581156,-10.53618776,0.814906438,-0.485670826,9.658579109,-0.886388327,-2.165264023
214,0,-0.25,0,-0.125,-0.6875,-0.5,0.09375,-0.203125,-0.5625,3.810407652,-0.172002869,-0.744333229,2.733254514,0.135733735,-0.437293038,4.241422498,-0.52260286,-0.824748085
215,0.125,0.125,-0.25,-0.28125,0.21875,0.0625,-0.0859375,0.4765625,-0.578125,3.03856672,2.303076994,-1.281703385,-6.81587062,0.449311445,-0.316509031,6.108249757,-0.749938014,-1.298371414
216,-0.5,-0.25,0,0.0625,0.125,-0.125,-0.640625,-0.25,0.28125,-0.226674904,9.038069256,-2.23278815,-4.251294304,-1.32258031,0.210830676,9.033372305,-0.921166392,-1.977528438
217,0,0.25,0.5,-0.5,0.3125,-0.625,0.234375,0.34375,0.3125,2.726898529,2.384517265,-1.257942496,-6.081383472,0.190535739,0.139205258,5.902415347,-0.772890725,-1.279054019
218,-0.625,-0.125,0.75,-0.15625,-0.03125,-0.0625,-0.8828125,-0.0078125,0.984375,-0.092175013,7.340046577,-1.924026205,-2.950901398,0.63024384,-0.024459105,7.632413757,-0.372943896,-1.935624503
219,0.25,0,-0.5,0,-0.4375,0,0.296875,0.09375,-0.40625,0.35722037,3.226767258,-0.832663479,5.149938734,-0.408576793,-0.463943365,4.75514803,-0.820393844,-1.183430038
220,0.375,-0.125,0.25,0.28125,0.03125,0.9375,0.3984375,0.0859375,0.015625,3.158606232,-0.037315313,-0.711958849,0.827294498,0.014826319,-1.175377165,3.295847134,-0.080916463,-0.8055986
221,0.125,0.375,-0.25,-0.28125,0.15625,0.0625,0.1953125,0.3984375,-0.015625,2.724630831,3.075473305,-1.405555206,-7.090370309,0.581112266,-0.465136764,6.467040167,-0.648164719,-1.424326517
222,-0.25,-0.25,0.5,0.1875,-0.0625,-0.125,-0.15625,-0.4375,0.125,-0.071018382,3.778789396,-0.955212857,-2.175378904,-0.422408762,0.06224097,3.901470718,-0.434620945,-0.865070444
223,0.25,-0.25,0,0,-0.125,-0.375,0.15625,-0.71875,-0.46875,0.530689731,2.756343165,-0.792306798,3.971761835,0.385219323,0.540188057,3.705402049,-0.525621874,-0.82413001
224,-0.375,-0.125,0.25,0.15625,-0.53125,-0.4375,-0.3984375,-0.2890625,-0.171875,-0.211472483,7.341128075,-1.86922247,-1.700147259,-0.611778719,0.250971825,7.071119113,-0.502968199,-1.656551813
225,0,-0.25,0,-0.25,0.4375,0,0,-0.296875,-0.75,3.567171007,-0.170900473,-0.682377488,2.525650925,-0.50156515,0.968305274,4.128346576,-0.699980601,-0.848594583
226,-0.125,0.125,-0.25,0.03125,-0.03125,-0.9375,0.0859375,0.1015625,-0.015625,9.236960614,-0.097039519,-2.144816137,-0.600900648,-0.058341916,2.748745392,8.250052837,-0.140685349,-1.870654509
227,-0.25,0.25,0,0.0625,0.0625,0.5,-0.484375,-0.078125,0.5625,-0.149389293,7.643943609,-1.9167238,-0.367152529,1.110427311,-0.129663877,7.680545335,-0.152226998,-1.950487821
228,0,0.25,0.5,0.375,0.0625,-0.125,-0.046875,0.4375,0.125,-0.118669296,5.127105906,-1.306445417,0.079366309,-0.618841968,0.122353013,4.811151622,-0.266127848,-1.133759173
229,0,0.25,0.5,0.375,0.1875,-0.375,0.421875,0.15625,0.6875,4.709220448,-0.033241486,-1.09503738,-0.410271923,-0.044686309,1.113602157,4.401160549,-0.047711927,-1.008220489
230,0,-0.25,0.5,-0.0625,-0.25,-0.5,0.65625,-0.203125,0.59375,2.938932885,-0.097099445,-0.650095212,1.588189007,-0.015237502,0.608273133,3.079211058,-0.297711929,-0.654908157
231,-0.375,-0.125,0.25,-0.15625,0.28125,-0.0625,-0.5859375,-0.0078125,0.390625,-0.274580137,6.37473684,-1.610169742,-2.705725237,0.302423823,-0.328526257,6.643374512,-0.523287899,-1.630099651
232,0.375,-0.125,-0.25,-0.09375,-0.21875,-0.1875,0.2109375,0.0859375,-0.578125,3.357098394,-0.535811114,-0.524479082,2.709358378,0.033274221,0.221816547,3.78495667,-0.526637076,-0.961511396
233,0,0,0.5,0.5625,-0.0625,0.75,0.421875,0.140625,0.125,3.699756708,-0.021670503,-0.839973911,0.340583806,0.020892985,-1.444028931,3.911140266,-0.369099399,-0.971939672
234,-0.375,0.125,0.25,-0.28125,-0.15625,-0.3125,-0.1640625,-0.0390625,0.484375,6.653154705,-0.321232537,-1.428850649,1.311155993,-0.013738745,1.146946788,6.626687658,-0.328466724,-1.444853547
235,-0.375,-0.125,-0.25,-0.09375,0.84375,0.1875,-0.0703125,-0.0546875,-0.859375,6.05567373,3.012860925,-2.153827736,-11.22897454,0.042960564,1.166398579,11.31397486,-2.091796508,-2.520836455
236,0,-0.25,-0.5,0.375,0.3125,0.125,0.140625,-0.4375,-0.125,1.606809092,5.032703848,-1.583629953,8.208473519,0.800944676,1.385343962,7.241954182,-0.793770343,-1.674342366
237,-0.75,-0.25,0.5,0.3125,-0.3125,-0.625,-0.65625,-0.34375,0.3125,-0.125844267,15.41117148,-4.04790726,-4.260428468,-1.519653615,0.014604429,14.2561712,-0.484549472,-3.453055497
238,0.375,-0.375,0.25,-0.59375,-0.28125,-0.5625,0.3515625,-0.3515625,0.296875,0.350716018,2.56560219,-0.736134951,3.226435729,-0.231019687,-0.367504744,3.423403433,-0.457475401,-0.785744775
239,0,0,0,0.0625,0.3125,0.125,-0.234375,0.046875,-0.28125,4.075337783,-0.323921549,-0.777152324,2.04002914,-0.483643253,0.083970044,4.487638668,-0.734678237,-0.984909196
240,0.25,0.25,0,0.125,-0.25,-0.375,-0.03125,0.15625,-0.46875,2.241167822,2.187471637,-1.05400145,-5.459854074,-0.524238576,0.427850027,4.522473183,-0.362335528,-0.959234317
241,0.25,0.25,-0.5,0.125,-0.75,0.25,0.15625,0.15625,-0.6875,4.122398095,-0.773344864,-0.653483749,2.570643119,0.234786312,-0.774623659,4.463025215,-0.59182752,-1.175628212
242,0,0.25,0,-0.5625,-0.375,0.125,-0.140625,0.15625,0.09375,-0.147822996,6.236151312,-1.588928038,-0.422083189,0.934609416,-0.177235488,6.271224076,-0.151157985,-1.620665814
243,0.125,-0.125,-0.25,-0.03125,-0.59375,-0.4375,0.2890625,-0.2890625,-0.203125,5.041494078,-0.762283107,-0.926296627,2.208846599,0.06945158,0.835356113,5.0121527,-0.818952945,-1.045216191
244,-0.125,-0.375,0.25,0.28125,-0.28125,-0.5625,0.3671875,-0.2109375,0.578125,4.304862596,-0.089971354,-0.983398196,1.910282444,-0.032018156,0.896726535,4.246848403,-0.28436225,-0.925180008
245,0,-0.25,-0.5,-0.125,0.0625,-0.625,0.234375,-0.34375,-0.3125,7.320631412,-0.579366115,-1.515933808,2.817761124,-0.022417589,2.094355859,6.974843595,-0.871182337,-1.424056503
246,0.25,0.25,0,0.3125,0.3125,0.25,0.25,0.0625,-0.28125,3.590346096,-0.372461254,-0.660614659,1.561064437,0.249849109,0.266373825,3.704699519,-0.511216116,-0.815923418
247,-0.125,-0.125,-0.25,-0.09375,0.03125,0.5625,-0.1015625,-0.6640625,-0.578125,2.011729957,4.898619009,-1.668751954,8.370430587,-0.854631498,-1.626104104,7.952328049,-0.792309218,-1.918421819
248,0.125,0.375,0.25,-0.59375,0.34375,-0.6875,0.4296875,0.4453125,0.109375,2.837480424,2.677971479,-1.36829977,-7.768971336,0.229987622,-0.10449513,6.644761989,-1.119294578,-1.378315278
249,-0.5,0.25,0,0.125,0.3125,-0.25,-0.640625,0.25,0.28125,-0.263495422,11.81840562,-2.951460414,-0.226416395,-1.875279504,0.207344292,11.68238997,-1.600335525,-2.461485378
250,-0.125,-0.125,-0.25,0.03125,0.15625,0.0625,-0.5703125,-0.0078125,0.171875,-0.34670732,5.585907638,-1.342492123,-2.685683903,0.476424904,-0.420592187,5.886338978,-0.604340313,-1.385290469
251,-0.25,-0.25,0,-0.25,0.25,0.375,-0.578125,-0.390625,0.1875,-0.153376534,6.612973302,-1.682204116,-2.476364789,0.663130775,-0.145967913,6.845924495,-0.372687286,-1.695844556
252,-0.625,-0.125,0.75,0.34375,-0.15625,-0.3125,-0.7421875,-0.1484375,0.703125,-0.074614651,8.412159077,-2.222038142,-2.026040529,-0.773625675,0.010124546,7.830863521,-0.219190689,-1.936216584
253,0,0.25,-0.5,-0.1875,0.5,0,0,0.296875,-0.78125,3.684645271,3.243956698,-1.675384353,-9.70632701,0.523452421,-0.58471237,8.337824686,-1.393314957,-1.691292112
254,0,0,0.5,0.1875,-0.0625,-0.75,-0.421875,-0.140625,0.125,-0.01658579,4.368860828,-1.106793453,-0.501864251,-0.730590509,0.00167176,4.025600468,-0.084588773,-0.956776293
255,0.125,0.375,0.25,-0.40625,-0.21875,0.4375,0.1015625,0.2109375,0.578125,-0.031632793,5.147431439,-1.319741512,0.700974988,0.851527293,-0.017215407,5.198652488,-0.054179192,-1.348416163
256,0.125,0.125,0.25,0.09375,0.09375,-0.5625,0.0546875,0.2421875,0.296875,-0.057262628,4.175715403,-1.050105748,-0.388009316,-0.704742856,0.060180537,3.875967587,-0.177797584,-0.896926773
257,-0.375,0.125,0.25,-0.09375,-0.21875,-0.1875,-0.5390625,0.0546875,0.296875,-0.251811342,7.008306056,-1.743038865,-0.977808468,-0.756067593,0.280509339,6.863229481,-0.50113429,-1.605598428
258,-0.375,0.125,0.25,0.15625,0.15625,0.3125,-0.5390625,-0.1328125,0.671875,6.713463808,-0.202386101,-1.461806636,1.266453419,-0.421265578,-0.964875044,7.049752715,-0.19445563,-1.772802111
259,0.25,0.25,-0.5,0.0625,-0.0625,0.125,0.0625,0.34375,-0.875,4.540950176,-1.200591123,-0.597981094,2.681328224,0.091169641,-0.662964335,4.979834902,-0.737155525,-1.62870055
260,0.375,0.125,0.25,0.34375,0.28125,0.3125,0.5390625,-0.2265625,0.296875,2.950487651,-0.25589507,-0.567711851,1.595104477,-0.358444377,0.698159596,3.256347591,-0.459178114,-0.732757447
261,0.25,-0.25,0,-0.375,0.125,-0.125,0.0625,-0.53125,-0.28125,0.523538756,2.793806452,-0.804475929,4.079413629,-0.272332011,-0.396145138,4.002836822,-0.621938652,-0.868028891
262,-0.125,-0.125,-0.25,-0.28125,-0.40625,0.4375,-0.1953125,-0.1015625,-0.578125,2.314275916,4.759273215,-1.679900788,8.52279336,-1.052706803,-1.967157677,8.075362176,-0.696921281,-1.984792551
263,0.25,0.25,0,0.25,0,-0.375,0.15625,0.15625,0.46875,-0.133068485,4.806430588,-1.204065895,-0.235509948,-0.722002192,0.145709073,4.402456217,-0.29876078,-0.992768893
264,-0.125,-0.125,-0.25,-0.28125,0.09375,-0.3125,-0.1484375,-0.1484375,0.453125,-0.3518617,5.872879847,-1.445801394,-3.042309399,0.36506709,-0.406703075,6.23124013,-0.672143494,-1.483879884
265,0.25,-0.25,0,0.625,0.375,0.625,0.34375,-0.34375,0.28125,0.854177906,3.45011118,-1.053755738,5.122044968,0.415244326,0.702086345,4.667155395,-0.562281443,-1.054092295
266,0.25,0.25,0,0.25,-0.125,-0.125,0.0625,0.53125,-0.28125,2.262171402,2.006275681,-1.024352532,-5.311361474,-0.41905173,0.28965871,4.441755489,-0.383932419,-0.948659802
267,-0.375,0.375,0.25,0.28125,-0.15625,0.3125,-0.2578125,0.1640625,0.671875,-0.2919601,10.7908409,-2.801191073,1.41622002,-0.908339007,0.299567691,10.47445282,-0.536054082,-2.596951699
268,0,0,0,-0.25,-0.625,-0.25,0.234375,-0.234375,-0.28125,3.996638334,-0.238264961,-0.776708573,2.190448358,0.139547633,-1.044191208,4.310537261,-0.416022965,-0.912849496
269,-0.5,0,0,-0.0625,-0.1875,0.125,-0.5,-0.375,0,-0.409589404,9.048999345,-2.186677101,-3.092975239,2.768515624,-0.033902534,9.592780475,-0.986187577,-2.307641518
270,0.125,-0.125,-0.25,0.34375,0.03125,0.0625,0.0078125,-0.4765625,-0.390625,1.034678498,3.44947246,-1.066777264,5.728836331,0.466230949,0.776790041,5.061434697,-0.632416808,-1.126440059
271,-0.375,-0.125,0.25,-0.59375,-0.15625,0.3125,-0.1640625,0.0390625,0.484375,-0.064988139,9.213250305,-2.357029837,-1.408333919,1.464825318,-0.01979668,9.312191691,-0.117234975,-2.403724387
272,0,-0.5,-0.5,-0.0625,0.0625,-0.5,0.09375,-0.5,-0.59375,1.362858384,5.304677325,-1.593434408,8.045042196,0.981854209,1.496301647,7.149839803,-0.848436572,-1.679850594
273,0.25,-0.25,-0.5,0.25,0.25,0.5,0.296875,-0.484375,-0.40625,4.843180868,-0.810932033,-0.844542217,3.560379555,-0.052492869,-0.750535437,5.378725098,-0.853146573,-1.337871907
274,-0.5,0,1,0,0,0,-0.78125,0,1,4.860143963,-0.06868062,-1.058734799,1.404214854,-0.008283063,-0.353333771,4.963324632,-0.166283939,-1.064312149
275,0,-0.25,0.5,0.0625,0,0,0.46875,-0.296875,0.40625,2.62409274,-0.064631772,-0.543867266,1.818618548,0.044948266,-0.049597719,2.898223154,-0.348657816,-0.542764135
276,0.125,0.125,0.25,-0.34375,-0.09375,-0.1875,-0.0390625,0.2421875,0.296875,-0.194113923,4.308481621,-1.073565807,-1.105713818,0.423297975,-0.232961211,4.384575817,-0.251235129,-1.092538796
277,0.125,-0.125,-0.25,-0.03125,0.28125,-0.4375,0.2890625,-0.0078125,-0.203125,4.864962248,-0.32514853,-1.023672418,1.72810076,-0.016479189,1.481474937,4.687145896,-0.552641661,-0.971574319
278,0.125,-0.375,-0.25,-0.28125,-0.15625,0.3125,0.1484375,0.0234375,0.453125,-0.081643158,5.651587053,-1.417521374,-1.64523437,0.982351316,-0.087426524,5.800883122,-0.196839148,-1.451621453
279,0.25,0.25,0,0,-0.125,-0.125,0.4375,0.4375,-0.09375,3.486407659,-0.334874053,-0.642682813,1.436912771,0.468498056,-0.137740867,3.796484718,-0.595541836,-0.88263372
280,0,0,0,0.375,-0.125,0.75,0.328125,0.140625,0.09375,4.600188477,-0.157303703,-0.997320556,1.131790104,0.029924631,-1.600680916,4.775589672,-0.210921293,-1.119104161
281,0.125,-0.125,0.25,0.34375,0.15625,0.1875,0.2421875,-0.0546875,0.859375,-0.103659648,3.688188153,-0.91724536,-1.669382691,-0.467565483,0.107607702,3.643132092,-0.36437336,-0.801720474
282,0.625,0.125,0.25,-0.03125,-0.15625,-0.0625,0.8828125,0.0078125,0.765625,2.534244231,-0.367655452,-0.459790722,1.730538861,-0.021136912,-0.358287607,2.782160551,-0.459761267,-0.615601228
283,0,0,0,-0.4375,-0.4375,-0.125,-0.09375,0.09375,0,-0.179841332,5.433765546,-1.355653337,-1.707772317,0.748661896,-0.213626736,5.582250463,-0.304476225,-1.379503362
284,-0.125,0.125,0.25,0.21875,0.03125,0.0625,-0.2890625,0.5703125,-0.171875,3.147150201,1.926517962,-1.206899503,-6.567056553,-0.41658227,0.013321769,5.486006891,-0.479939687,-1.203971786
285,-0.25,-0.25,0.5,-0.4375,0.0625,0.125,-0.25,-0.4375,0.125,-0.068270715,4.024582013,-1.025065145,-2.212935397,0.456219602,-0.050519675,5.406474167,-0.491680736,-2.009780108
286,0.25,0.25,0,0.0625,0.0625,0.25,0.625,0.25,0.28125,3.548037275,-0.36100354,-0.654687049,1.297710387,0.269546363,-0.504140567,3.879329225,-0.663867446,-0.717784616
