ID,A1,A2,A3,B1,B2,B3,D1,D2,D3,e1,e2,e3,e12,e13,e23,eI,eII,eIII
55,-0.25,0,0,0.125,-0.4375,0.625,0.078125,0.375,0,5.888387386,-0.05033462,-1.333647069,0.662813554,0.075440776,-2.325712449,6.087853399,-0.061786348,-1.521661355
56,0.375,-0.375,0.25,-0.03125,-0.21875,-0.4375,0.6796875,-0.2109375,0.578125,2.373216121,-0.102543343,-0.515050263,1.616885274,-0.010453934,0.491353198,2.566209733,-0.329068523,-0.535982752
57,0,0,0.5,0.5625,-0.3125,0,0,0,0.40625,-0.136647725,4.868933247,-1.249612463,-0.835232931,-0.406084519,0.158984894,4.608977012,-0.29401179,-1.090217665
58,-0.25,0,0.5,-0.125,-0.0625,-0.25,-0.8125,-0.046875,0.875,-0.128313085,4.79654118,-1.232718791,-1.836930969,0.376746484,-0.110912197,4.968401567,-0.293555509,-1.239336754
59,-0.125,0.125,0.75,-0.09375,-0.03125,0.0625,-0.5703125,0.0078125,0.984375,-0.061794885,4.064797977,-1.036864613,-0.622756797,0.474851372,-0.036704679,4.099202269,-0.085157848,-1.047905943
60,0.375,-0.125,-0.25,-0.21875,-0.21875,-0.4375,0.5859375,-0.3828125,0.171875,3.460500448,-0.55756238,-0.600588477,2.766802645,0.029927169,0.559865261,3.860891062,-0.578782456,-1.022945072
61,-0.375,-0.125,0.25,-0.09375,0.09375,-0.1875,-0.5390625,-0.2421875,0.296875,-0.147810216,5.627720529,-1.384632602,-2.426100436,-0.831571351,0.155955913,5.744172197,-0.963505144,-1.138026588
62,0.125,0.125,0.25,-0.21875,0.03125,-0.1875,-0.0859375,0.1953125,0.578125,-0.207475329,3.962357623,-0.976506759,-1.223374275,0.340119748,-0.243926406,4.05708806,-0.2820846,-0.996627925
63,0.625,-0.125,0.25,0.15625,0.59375,0.3125,0.2734375,-0.1484375,-0.453125,0.330582748,2.304195514,-0.640906506,3.188591436,0.275800046,0.36155715,3.021829391,-0.486941162,-0.689848017
64,0,0.25,-0.5,-0.25,0.0625,-0.375,0.28125,-0.171875,-0.40625,6.37380188,-1.100645441,-1.111266861,2.75564511,0.05448197,1.108802799,6.376799666,-0.981799669,-1.485374809
65,0.625,-0.125,0.25,-0.09375,-0.40625,-0.1875,0.6484375,-0.0546875,0.296875,2.613220131,-0.195091943,-0.543148118,1.713592246,0.003596147,-0.497610463,2.870726567,-0.405198071,-0.590548426
66,0.75,0,0.5,-0.25,-0.0625,-0.5,0.796875,-0.09375,0.59375,2.300444939,-0.362442622,-0.414750718,2.033996134,-0.026043879,-0.130388594,2.645840029,-0.415919266,-0.706669164
67,-0.5,0.5,0,-0.3125,-0.3125,0.625,-0.5,0.5,0,-0.101286805,21.02145372,-5.47167801,6.69035624,3.064567518,0.043041036,21.62357047,-0.609278666,-5.5658029
68,-0.125,-0.125,-0.25,0.28125,-0.21875,0.0625,-0.1953125,-0.1953125,-0.015625,-0.357179908,6.415565222,-1.574984983,-2.433816117,-0.525796302,0.432557863,6.412486139,-0.827029978,-1.426236753
69,0,0.25,-0.5,0.25,0.0625,0.125,0.09375,0.390625,-0.59375,-0.853522627,6.12492142,-1.294275148,-2.105007625,-0.715488713,0.063348552,6.435153033,-1.103339709,-1.509702065
70,0.375,0.125,-0.25,0.15625,-0.03125,0.3125,0.1640625,0.4296875,-0.671875,3.492761934,-0.711823623,-0.501706924,2.465660182,-0.000768359,-0.722433912,4.053617004,-0.584965287,-1.295871667
71,0,-0.25,0,-0.375,0.4375,0,0,-0.109375,-0.375,3.173679797,0.698902295,-0.907437918,-4.8446035,0.201646999,0.229547768,4.825759637,-0.779361972,-1.174822483
72,0,0,0,0,0.375,-0.5,-0.09375,-0.09375,-0.5625,1.482845837,3.194167475,-1.10354081,5.637393988,0.715431172,1.295644743,4.835904241,-0.342240421,-1.179633971
73,0.375,-0.375,0.25,0.46875,0.03125,0.0625,0.3046875,-0.1171875,0.765625,-0.05296702,3.045774138,-0.770309346,-1.617201269,-0.3819874,0.046782047,3.017726275,-0.317703897,-0.659088547
74,0.375,0.125,0.25,0.21875,0.15625,0.5625,0.4921875,-0.0859375,0.015625,3.146026065,-0.355289576,-0.606078597,1.075970758,-0.024178571,-0.751432758,3.262856165,-0.427228071,-0.650970202
75,-0.125,-0.125,-0.75,0.15625,0.15625,-0.3125,-0.1484375,0.6015625,-0.703125,6.191820285,5.329614251,-2.725096092,-14.38815827,-1.48749963,1.272362279,11.66010122,-1.104491774,-2.381606627
76,0.25,0,0,-0.1875,0.25,0,0.390625,0.1875,0,3.487582944,-0.328415417,-0.66016763,1.779428021,0.30442221,-0.288682664,4.024739178,-0.669885403,-0.984085314
77,0.125,-0.375,-0.75,-0.09375,-0.84375,-0.1875,0.0546875,-0.0703125,-0.890625,0.667440354,4.468457191,-1.20800468,6.698371799,-0.613495595,-0.833517479,6.448255778,-1.053540572,-1.466822341
78,0,-0.25,0,0.625,0.1875,-0.25,-0.140625,0.03125,0.46875,-0.067360945,7.117833302,-1.812122366,-1.285512044,-1.125475601,0.06169048,6.351680556,-0.266724065,-1.446085593
79,-0.125,0.375,-0.25,-0.21875,0.15625,-0.4375,-0.0078125,0.3984375,0.171875,6.524412602,-0.399918385,-1.353756239,0.63629519,-0.046903417,1.508719351,7.253520586,-1.208767153,-1.487381847
80,0.375,-0.125,-0.25,-0.09375,0.15625,-0.1875,0.4453125,0.1328125,-0.109375,3.469148942,-0.522300343,-0.622301806,2.459253483,0.032783191,0.585836315,3.768709894,-0.570990529,-0.964528383
81,-0.5,0,0,-0.0625,-0.1875,0.125,-0.5,-0.375,0,-0.409589404,9.048999345,-2.186677101,-3.092975239,2.768515624,-0.033902534,9.592780475,-0.986187577,-2.307641518
82,0,-0.25,0,-0.0625,0.125,-0.125,-0.515625,-0.25,0.28125,-0.126808992,3.838361372,-0.935598927,-2.28771125,-0.501995816,0.139623371,4.013718696,-0.544250237,-0.847211037
83,-0.125,-0.125,-0.25,0.03125,-0.59375,-0.6875,-0.1484375,-0.4296875,-0.109375,-0.255318117,8.05118616,-2.024921556,-1.620066541,-0.938071626,0.26750864,7.45500729,-0.529750433,-1.69287668
84,0,0.25,-0.5,0.1875,0.125,0.25,0.140625,0.53125,-0.6875,-0.830953001,5.790070572,-1.184113221,-2.38567427,1.06637649,-0.13011907,6.751663011,-1.051504865,-1.951660754
85,-0.125,-0.375,-0.25,-0.34375,0.34375,0.3125,-0.2421875,-0.5390625,-0.296875,-0.281047042,7.115305343,-1.766437277,-3.04708461,0.759045495,-0.326134868,7.434577435,-0.576431774,-1.790324636
86,-0.125,-0.625,-0.75,-0.09375,0.03125,0.1875,-0.0546875,-0.9296875,-0.890625,1.375339525,8.56435232,-2.421868635,12.12522737,-1.064092271,-1.587178085,12.06845576,-1.806452115,-2.744180431
87,0,0.25,0,-0.5,-0.1875,0.5,-0.09375,0.203125,0.5625,-0.043431392,7.112556123,-1.834762487,0.635079232,1.112111659,-0.041564435,7.160811559,-0.056364308,-1.870085007
88,0,0,0,0.125,-0.125,-0.25,0.421875,-0.046875,0.46875,4.823768904,-0.234724184,-1.041646479,1.369042511,-0.005097472,0.990061052,4.696551893,-0.339035929,-0.986274906
89,0,0,0,0.4375,-0.4375,-0.375,-0.1875,-0.1875,0,-0.172315924,7.129050427,-1.81439984,-0.181326046,-0.888940758,0.198516027,6.452174985,-0.348572909,-1.490286231
